tip.name	current.accepted.name	duplicated
Acnistus_arborescens	Acnistus_arborescens	no
Anisodus_acutangulus	Anisodus_acutangulus	no
Anisodus_carniolicoides	Anisodus_carniolicoides	no
Anisodus_luridus	Anisodus_luridus	no
Anisodus_tanguticus	Anisodus_tanguticus	no
Anthocercis_angustifolia	Anthocercis_angustifolia	no
Anthocercis_gracilis	Anthocercis_gracilis	no
Anthocercis_ilicifolia	Anthocercis_ilicifolia	no
Anthocercis_intricata	Anthocercis_intricata	no
Anthocercis_littorea	Anthocercis_littorea	no
Anthocercis_myosotidea	Cyphanthera_myosotidea	no
Anthocercis_racemosa	Cyphanthera_racemosa	no
Anthocercis_sylvicola	Anthocercis_sylvicola	no
Anthocercis_viscosa	Anthocercis_viscosa	no
Anthotroche_blackii	Anthotroche_pannosa	yes
Anthotroche_myoporoides	Anthotroche_myoporoides	no
Anthotroche_pannosa	Anthotroche_pannosa	no
Anthotroche_walcottii	Anthotroche_walcottii	no
Athenaea_pogogena	Athenaea_pogogena	no
Athenaea_sp	Athenaea_sp	no
Atropa_belladonna	Atropa_belladonna	no
Atropa_komarovii	Atropa_komarovii	no
Atropanthe_sinensis	Atropanthe_sinensis	no
Aureliana_fasciculata	Aureliana_fasciculata	no
Benthamiella_patagonica	Benthamiella_patagonica	no
Benthamiella_skottsbergii	Benthamiella_skottsbergii	no
Bouchetia_anomala	Bouchetia_anomala	no
Bouchetia_erecta	Bouchetia_erecta	no
Brachistus_stramoniifolius	Brachistus_stramoniifolius	no
Browallia_eludens	Browallia_eludens	no
Browallia_speciosa	Browallia_speciosa	no
Brugmansia_arborea	Brugmansia_arborea	no
Brugmansia_aurea	Brugmansia_aurea	no
Brugmansia_sanguinea	Brugmansia_sanguinea	no
Brunfelsia_americana	Brunfelsia_americana	no
Brunfelsia_uniflora	Brunfelsia_uniflora	no
Calibrachoa_parviflora	Calibrachoa_parviflora	no
Calibrachoa_pygmaea	Calibrachoa_pygmaea	no
Calibrachoa_sellowiana	Calibrachoa_sellowiana	no
Capsicum_annuum	Capsicum_annuum	no
Capsicum_baccatum	Capsicum_baccatum	no
Capsicum_campylopodium	Capsicum_campylopodium	no
Capsicum_cardenasii	Capsicum_cardenasii	no
Capsicum_ceratocalyx	Capsicum_ceratocalyx	no
Capsicum_chacoense	Capsicum_chacoense	no
Capsicum_chinense	Capsicum_chinense	no
Capsicum_ciliatum	Capsicum_ciliatum	no
Capsicum_coccineum	Capsicum_coccineum	no
Capsicum_eximium	Capsicum_eximium	no
Capsicum_flexuosum	Capsicum_flexuosum	no
Capsicum_frutescens	Capsicum_frutescens	no
Capsicum_galapagoense	Capsicum_galapagoense	no
Capsicum_geminifolium	Capsicum_geminifolium	no
Capsicum_hunzikerianum	Capsicum_hunzikerianum	no
Capsicum_lanceolatum	Capsicum_lanceolatum	no
Capsicum_lycianthoides	Capsicum_lycianthoides	no
Capsicum_minutiflorum	Capsicum_minutiflorum	no
Capsicum_pereirae	Capsicum_pereirae	no
Capsicum_pubescens	Capsicum_pubescens	no
Capsicum_recurvatum	Capsicum_recurvatum	no
Capsicum_rhomboideum	Capsicum_rhomboideum	no
Capsicum_schottianum	Capsicum_schottianum	no
Capsicum_tovarii	Capsicum_tovarii	no
Capsicum_villosum	Capsicum_villosum	no
Cestrum_acutifolium	Cestrum_acutifolium	no
Cestrum_aurantiacum	Cestrum_aurantiacum	no
Cestrum_chiriquianum	Cestrum_chiriquianum	no
Cestrum_dasyanthum	Cestrum_dasyanthum	no
Cestrum_diurnum	Cestrum_diurnum	no
Cestrum_elegans	Cestrum_elegans	no
Cestrum_endlicheri	Cestrum_endlicheri	no
Cestrum_fasciculatum	Cestrum_fasciculatum	no
Cestrum_fragile	Cestrum_fragile	no
Cestrum_fulvescens	Cestrum_fulvescens	no
Cestrum_glanduliferum	Cestrum_glanduliferum	no
Cestrum_guatemalense	Cestrum_guatemalense	no
Cestrum_inclusum	Cestrum_inclusum	no
Cestrum_irazuense	Cestrum_irazuense	no
Cestrum_laxum	Cestrum_laxum	no
Cestrum_luteovirescens	Cestrum_luteovirescens	no
Cestrum_macrophyllum	Cestrum_macrophyllum	no
Cestrum_megalophyllum	Cestrum_megalophyllum	no
Cestrum_milciomejiae	Cestrum_milciomejiae	no
Cestrum_miradorense	Cestrum_miradorense	no
Cestrum_mortonianum	Cestrum_mortonianum	no
Cestrum_nocturnum	Cestrum_nocturnum	no
Cestrum_oblongifolium	Cestrum_oblongifolium	no
Cestrum_pacayense	Cestrum_pacayense	no
Cestrum_pittieri	Cestrum_sp	no
Cestrum_poasanum	Cestrum_poasanum	no
Cestrum_regelii	Cestrum_regelii	no
Cestrum_rigidum	Cestrum_rigidum	no
Cestrum_roseum	Cestrum_roseum	no
Cestrum_sphaerocarpum	Cestrum_sphaerocarpum	no
Cestrum_strigilatum	Cestrum_strigilatum	no
Cestrum_thyrsoideum	Cestrum_thyrsoideum	no
Cestrum_tomentosum	Cestrum_tomentosum	no
Cestrum_tuerckheimii	Cestrum_tuerckheimii	no
Cestrum_violaceum	Cestrum_violaceum	no
Cestrum_virgaurea	Cestrum_virgaurea	no
Chamaesaracha_coronopus	Chamaesaracha_coronopus	no
Chamaesaracha_sordida	Chamaesaracha_sordida	no
Coeloneurum_ferrugineum	Coeloneurum_ferrugineum	no
Combera_paradoxa	Combera_paradoxa	no
Crenidium_spinescens	Crenidium_spinescens	no
Cuatresia_exiguiflora	Cuatresia_exiguiflora	no
Cuatresia_riparia	Cuatresia_riparia	no
Cyphanthera_albicans	Cyphanthera_albicans	no
Cyphanthera_anthocercidea	Cyphanthera_anthocercidea	no
Cyphanthera_microphylla	Cyphanthera_microphylla	no
Cyphanthera_odgersii	Cyphanthera_odgersii	no
Datura_bernhardii	Datura_bernhardii	no
Datura_ceratocaula	Datura_ceratocaula	no
Datura_discolor	Datura_discolor	no
Datura_ferox	Datura_ferox	no
Datura_inoxia	Datura_inoxia	no
Datura_laevis	Datura_stramonium	yes
Datura_leichhardtii	Datura_leichhardtii	no
Datura_metel	Datura_metel	no
Datura_quercifolia	Datura_quercifolia	no
Datura_rosei	Datura_sp	no
Datura_stramonium	Datura_stramonium	no
Deprea_bitteriana	Deprea_bitteriana	no
Deprea_orinocensis	Deprea_orinocensis	no
Deprea_paneroi	Deprea_paneroi	no
Deprea_sylvaticum	Deprea_sylvarum	yes
Discopodium_penninervium	Discopodium_penninervium	no
Duboisia_hopwoodii	Duboisia_hopwoodii	no
Duboisia_leichhardtii	Duboisia_leichhardtii	no
Duboisia_myoporoides	Duboisia_myoporoides	no
Duckeodendron_cestroides	Duckeodendron_cestroides	no
Dunalia_brachyacantha	Dunalia_brachyacantha	no
Dunalia_obovata	Dunalia_obovata	no
Dunalia_solanacea	Dunalia_solanacea	no
Dunalia_spathulata	Dunalia_spathulata	no
Dunalia_spinosa	Dunalia_spinosa	no
Dyssochroma_viridiflora	Dyssochroma_viridiflora	no
Eriolarynx_fasciculata	Eriolarynx_fasciculata	no
Eriolarynx_lorentzii	Eriolarynx_lorentzii	no
Espadaea_amoena	Espadaea_amoena	no
Exodeconus_miersii	Exodeconus_miersii	no
Fabiana_imbricata	Fabiana_imbricata	no
Goetzea_ekmanii	Goetzea_ekmanii	no
Goetzea_elegans	Goetzea_elegans	no
Grammosolen_dixonii	Grammosolen_dixonii	no
Grammosolen_truncatus	Grammosolen_truncatus	no
Henoonia_myrtifolia	Henoonia_myrtifolia	no
Heteranthia_decipiens	Heteranthia_decipiens	no
Hunzikeria_texana	Hunzikeria_texana	no
Hyoscyamus_albus	Hyoscyamus_albus	no
Hyoscyamus_aureus	Hyoscyamus_aureus	no
Hyoscyamus_desertorum	Hyoscyamus_desertorum	no
Hyoscyamus_leptocalyx	Hyoscyamus_leptocalyx	no
Hyoscyamus_muticus	Hyoscyamus_muticus	no
Hyoscyamus_niger	Hyoscyamus_niger	no
Hyoscyamus_pusillus	Hyoscyamus_pusillus	no
Hyoscyamus_turcomanicus	Hyoscyamus_turcomanicus	no
Iochroma_australe	Iochroma_australe	no
Iochroma_calycinum	Iochroma_calycinum	no
Iochroma_cardenasianum	Iochroma_cardenasianum	no
Iochroma_confertiflorum	Iochroma_confertiflorum	no
Iochroma_cornifolium	Iochroma_cornifolium	no
Iochroma_cyaneum	Iochroma_cyaneum	no
Iochroma_edule	Iochroma_edule	no
Iochroma_ellipticum	Iochroma_ellipticum	no
Iochroma_fuchsioides	Iochroma_fuchsioides	no
Iochroma_gesnerioides	Iochroma_gesnerioides	no
Iochroma_grandiflorum	Iochroma_grandiflorum	no
Iochroma_lehmannii	Iochroma_lehmannii	no
Iochroma_loxense	Iochroma_loxense	no
Iochroma_nitidum	Iochroma_nitidum	no
Iochroma_parvifolium	Iochroma_parvifolium	no
Iochroma_salpoanum	Iochroma_salpoanum	no
Iochroma_squamosum	Iochroma_squamosum	no
Iochroma_stenanthum	Iochroma_stenanthum	no
Iochroma_umbellatum	Iochroma_umbellatum	no
Ipomoea	Ipomoea	no
Jaborosa_integrifolia	Jaborosa_integrifolia	no
Jaborosa_sativa	Jaborosa_sativa	no
Jaborosa_squarrosa	Jaborosa_squarrosa	no
Jaltomata_andersonii	Jaltomata_andersonii	no
Jaltomata_antillana	Jaltomata_antillana	no
Jaltomata_aspera	Jaltomata_aspera	no
Jaltomata_auriculata	Jaltomata_auriculata	no
Jaltomata_bernardelloana	Jaltomata_bernardelloana	no
Jaltomata_bicolor	Jaltomata_bicolor	no
Jaltomata_biflora	Jaltomata_biflora	no
Jaltomata_bohsiana	Jaltomata_bohsiana	no
Jaltomata_cajacayensis	Jaltomata_cajacayensis	no
Jaltomata_chihuahuensis	Jaltomata_chihuahuensis	no
Jaltomata_chotanae	Jaltomata_chotanae	no
Jaltomata_contumacensis	Jaltomata_contumacensis	no
Jaltomata_darcyana	Jaltomata_darcyana	no
Jaltomata_dendroidea	Jaltomata_dendroidea	no
Jaltomata_dentata	Jaltomata_dentata	no
Jaltomata_grandiflora	Jaltomata_grandiflora	no
Jaltomata_guillermoguerrae	Jaltomata_guillermoguerrae	no
Jaltomata_herrerae	Jaltomata_herrerae	no
Jaltomata_lanata	Jaltomata_lanata	no
Jaltomata_leivae	Jaltomata_leivae	no
Jaltomata_lezamae	Jaltomata_lezamae	no
Jaltomata_lojae	Jaltomata_lojae	no
Jaltomata_lomana	Jaltomata_lomana	no
Jaltomata_mionei	Jaltomata_mionei	no
Jaltomata_nigricolor	Jaltomata_nigricolor	no
Jaltomata_oppositifolia	Jaltomata_oppositifolia	no
Jaltomata_paneroi	Jaltomata_paneroi	no
Jaltomata_procumbens	Jaltomata_procumbens	no
Jaltomata_repandidentata	Jaltomata_repandidentata	no
Jaltomata_sagastegui	Jaltomata_sagastegui	no
Jaltomata_salpoensis	Jaltomata_salpoensis	no
Jaltomata_sanchezvegae	Jaltomata_sanchezvegae	no
Jaltomata_sinuosa	Jaltomata_sinuosa	no
Jaltomata_tayabambae	Jaltomata_tayabambae	no
Jaltomata_truxillana	Jaltomata_truxillana	no
Jaltomata_umbellata	Jaltomata_umbellata	no
Jaltomata_ventricosa	Jaltomata_ventricosa	no
Jaltomata_viridiflora	Jaltomata_viridiflora	no
Jaltomata_weberbaueri	Jaltomata_weberbaueri	no
Jaltomata_yacheri	Jaltomata_yacheri	no
Jaltomata_yungayensis	Jaltomata_yungayensis	no
Juanulloa_mexicana	Juanulloa_mexicana	no
Larnax_dilloniana	Larnax_dilloniana	no
Larnax_hawkesii	Larnax_hawkesii	no
Larnax_nieva	Larnax_nieva	no
