FULLNAME,CLADE1,CLADE2,,,
Solanum ?michoacanum (Bitter) Rydb.,Potato,Petota,,,
Solanum abitaguense S.Knapp,Geminata,Geminata,,,
Solanum abollatum H.St.John,Leptostemonum,Geminata,,,
Solanum abortivum Symon,Leptostemonum,Geminata,,,
Solanum absconditum Agra,Leptostemonum,Erythrotrichum,,,
Solanum abutilifolium Rusby,Leptostemonum,African non-spiny,,,
Solanum abutiloides (Griseb.) Bitter & Lillo,Brevantherum,Brevantherum s.s.,,,
Solanum acanthodapis A.R.Bean,Leptostemonum,Wendlandii-Allophyllum,,,
Solanum acanthodes Hook.f.,Leptostemonum,Wendlandii-Allophyllum,,,
Solanum acaule Bitter,Potato,Petota,,,
Solanum accrescens Standl. & C.V.Morton,Leptostemonum,Erythrotrichum,,,
Solanum acerifolium Dunal,Leptostemonum,Acanthophora,,,
Solanum achorum S.Stern,Leptostemonum,Erythrotrichum,,,
Solanum acroglossum Juz.,Potato,Petota,,,
Solanum acropterum Griseb.,Geminata,Geminata,,,
Solanum acroscopicum Ochoa,Potato,Petota,,,
Solanum actaeibotrys Rusby,Leptostemonum,Torva,,,
Solanum actephilum Guillaumin,Leptostemonum,EHS-Irenosolanum,,,
Solanum aculeastrum Dunal,Leptostemonum,EHS-Africa,,,
Solanum aculeatissimum Jacq.,Leptostemonum,Acanthophora,,,
Solanum acuminatum Ruiz & Pav.,Geminata,Geminata,,,
Solanum acutilobum Dunal,Leptostemonum,Torva,,,
Solanum adenobasis M.Nee & Farruggia,Leptostemonum,Androceras-Crinitum,,,
Solanum adenophorum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum adoense Hochst. ex A.Rich.,Leptostemonum,EHS-Africa,,,
Solanum adoxum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum adscendens Sendtn.,Brevantherum,Gonatotrichum,,,
Solanum adspersum Witasek,Leptostemonum,Torva,,,
Solanum aethiopicum L.,Leptostemonum,EHS-Africa,,,
Solanum affine Sendtn.,Leptostemonum,Acanthophora,,,
Solanum africanum,African non-spiny,African non-spiny,,,
Solanum agnewiorum Voronts.,Leptostemonum,EHS-Africa,,,
Solanum agnoston S.Knapp,Dulcamaroid,Dulcamaroid,,,
Solanum agrarium Sendtn.,Leptostemonum,Gardneri,,,
Solanum agrimoniifolium Rydb.,Potato,Petota,,,
Solanum ajanhuiri Juz. & Bukasov,Potato,Petota,,,
Solanum alatirameum Bitter,Geminata,Geminata,,,
Solanum albescens (Britton ex Rusby) Hunz.,Morelloid,Section Solanum,,,
Solanum albicans (Ochoa) Ochoa,Potato,Petota,,,
Solanum albidum Dunal,Leptostemonum,Torva,,,
Solanum albornozii Correll,Potato,Petota,,,
Solanum albostellatum R.W.Davis & P.J.H.Hurter,Leptostemonum,EHS-Australia,,,
Solanum aldabrense C.H.Wright,Leptostemonum,EHS,,,
Solanum aligerum Schltdl.,Dulcamaroid,South American,,,
Solanum alliariifolium M.Nee & S?rkinen,Morelloid,section Solanum,,,
Solanum allophyllum (Miers) Standl.,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum aloysiifolium Dunal,Morelloid,Section Solanum,,,
Solanum alphonsei Dunal,Dulcamaroid,South American,,,
Solanum alpinum Zoll. & Moritzi,Morelloid,Section Solanum,,,
Solanum alternatopinnatum Steud.,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum altissimum BenÕtez,Leptostemonum,Androceras-Crinitum,,,
Solanum amayanum Ochoa,Potato,Petota,,,
Solanum amblophyllum Hook.,Geminata,Geminata,,,
Solanum amblymerum Dunal,Leptostemonum,EHS-Australia,,,
Solanum americanum Mill.,Morelloid,Section Solanum,,,
Solanum amicorum Benth.,Leptostemonum,EHS-Irenosolanum,,,
Solanum ammophilum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum amnicola S.Knapp,Geminata,Geminata,,,
Solanum amorimii S.Knapp & Giacomin,Geminata,Geminata,,,
Solanum amotapense Svenson,Cyphomandra,Cyphomandropsis,,,
Solanum amygdalifolium Steud.,Dulcamaroid,South American,,,
Solanum anamatophilum Ochoa,Potato,Petota,,,
Solanum anceps Ruiz & Pav.,Potato,Pteroidea,,,
Solanum ancophilum (Correll) Ochoa,Potato,Petota,,,
Solanum andreanum Baker,Potato,Petota,,,
Solanum anfractum Symon,Leptostemonum,EHS-New Guinea,,,
Solanum anguivi Lam.,Leptostemonum,EHS-Africa,,,
Solanum angustialatum Bitter,Potato,Pteroidea,,,
Solanum angustifidum Bitter,Dulcamaroid,South American,,,
Solanum angustifolium Mill. [3],Leptostemonum,Androceras-Crinitum,,,
Solanum angustum Domin,Leptostemonum,EHS-Australia,,,
Solanum anisocladum Giacomin & Stehmann,Brevantherum,Brevantherum s.s.,,,
Solanum anisophyllum Van Heurck & MÙll.Arg.,Geminata,Geminata,,,
Solanum annuum C.V.Morton,Morelloid,Chamaesarachidium,,,
Solanum anoacanthum Sendtn.,Leptostemonum,Acanthophora,,,
Solanum anomalostemon S.Knapp & M.Nee,Mapiriense,Mapiriense,,,
Solanum anomalum Thonn.,Leptostemonum,EHS-Africa,,,
Solanum antisuyo S?rkinen & S.Knapp,Morelloid,Section Solanum,,,
Solanum apaporanum R.E.Schult.,Leptostemonum,Micracantha,,,
Solanum aparadense L.A.Mentz & M.Nee,Leptostemonum,Acanthophora,,,
Solanum aphyodendron S.Knapp,Geminata,Geminata,,,
Solanum apiahyense Witasek,Brevantherum,Brevantherum s.s.,,,
Solanum apiculatum Sendtn.,Leptostemonum,Erythrotrichum,,,
Solanum apodophyllum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum appendiculatum Dunal,Potato,Anarrhichomenum,,,
Solanum appressum K.E.Roe,Brevantherum,Brevantherum s.s.,,,
Solanum arachnidanthum Rusby,Leptostemonum,Micracantha,,,
Solanum arachnoides A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum arboreum Dunal,Geminata,Geminata,,,
Solanum arcanum Peralta,Potato,Tomato,,,
Solanum arenarium Sendtn.,Geminata,Geminata,,,
Solanum arenicola S?rkinen & P.Gonzàles,Morelloid,Section Solanum,,,
Solanum arequipense Bitter,Morelloid,Section Solanum,,,
Solanum argenteum Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum argentinum Bitter & Lillo,Geminata,Geminata,,,
Solanum argopetalum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum aridicola A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum aridum Morong,Leptostemonum,Carolinense,,,
Solanum armentalis J.L.Gentry & D'Arcy,Brevantherum,Brevantherum s.s.,,,
Solanum armourense A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum artense Montrouz.,Leptostemonum,EHS-Irenosolanum,,,
Solanum arundo Mattei,Leptostemonum,EHS-Africa,,,
Solanum ashbyae Symon,Leptostemonum,EHS-Australia,,,
Solanum asperolanatum Ruiz & Pav.,Leptostemonum,Torva,,,
Solanum asperrimum Bitter & Moritz,Leptostemonum,Micracantha,,,
Solanum aspersum S.Knapp,Dulcamaroid,Dulcamaroid,,,
Solanum asperum Rich. [3],Brevantherum,Brevantherum s.s.,,,
Solanum asterophorum Mart.,Leptostemonum,Asterophorum,,,
Solanum asteropilodes Bitter,Leptostemonum,Torva,,,
Solanum asymmetriphyllum Specht,Leptostemonum,EHS-Australia,,,
Solanum athenae Symon,Leptostemonum,EHS-New Guinea,,,
Solanum atitlanum K.E.Roe,Brevantherum,Brevantherum s.s.,,,
Solanum atriplicifolium Gillies ex Nees,Morelloid,Section Solanum,,,
Solanum atropurpureum Schrank,Leptostemonum,Acanthophora,,,
Solanum aturense Dunal,Leptostemonum,Micracantha,,,
Solanum augustii Ochoa,Potato,Petota,,,
Solanum aureitomentosum Bitter,Leptostemonum,EHS-Africa,,,
Solanum aureum Dunal,Dulcamaroid,South American,,,
Solanum austro-caledonicum Seem.,Leptostemonum,EHS-Irenosolanum,,,
Solanum austropiceum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum aviculare G.Forst.,Archaesolanum,Archaesolanum,,,
Solanum axillifolium K.E.Roe,Brevantherum,Brevantherum s.s.,,,
Solanum ayacuchense Ochoa,Potato,Petota,,,
Solanum bahamense L.,Leptostemonum,Bahamense,,,
Solanum bahianum S.Knapp,Geminata,Geminata,,,
Solanum banzicum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum barbeyanum Huber,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum barbisetum Nees,Leptostemonum,EHS-Tropical Asia,,,
Solanum barbulatum Zahlbr.,Geminata,Geminata,,,
Solanum baretiae Tepe,Potato,Anarrhichomenum,,,
Solanum basendopogon Bitter,Potato,Basarthrum,,,
Solanum batoides D'Arcy & Rakot.,Leptostemonum,EHS-Madagascar,,,
Solanum bauerianum Endl.,Leptostemonum,EHS-Irenosolanum,,,
Solanum beaugleholei Symon,Leptostemonum,EHS-Australia,,,
Solanum bellum S.Knapp,Geminata,Geminata,,,
Solanum berthaultii Hawkes,Potato,Petota,,,
Solanum betaceum Cav.,Cyphomandra,Pachyphylla,,,
Solanum betroka D'Arcy & Rakot.,African non-spiny,African non-spiny,,,
Solanum bicolor Willd.,Brevantherum,Brevantherum s.s.,,,
Solanum bicorne Dunal,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum bistellatum L.B.Sm. & Downs,Leptostemonum,Torva,,,
Solanum boldoense Dunal & A.DC.,Dulcamaroid,South American,,,
Solanum bolivianum Britton ex Rusby,Leptostemonum,Torva,,,
Solanum boliviense Dunal,Potato,Petota,,,
Solanum bombycinum Ochoa,Potato,Petota,,,
Solanum bonariense L.,Leptostemonum,Torva,,,
Solanum borgmannii Symon,Leptostemonum,EHS-New Guinea,,,
Solanum brachyantherum Phil.,Potato,Regmandra,,,
