genus.sp,roots,tubers,rhizomes,non-geophyte
Solanum_abutiloides,nongeophyte,0,0,1
Solanum_anisocladum,nongeophyte,0,0,1
Solanum_appressum,nongeophyte,0,0,1
Solanum_argenteum,nongeophyte,0,0,1
Solanum_armentalis,nongeophyte,0,0,1
Solanum_asperum,nongeophyte,0,0,1
Solanum_atitlanum,nongeophyte,0,0,1
Solanum_axillifolium,nongeophyte,0,0,1
Solanum_bicolor,nongeophyte,0,0,1
Solanum_brevipedicellatum,nongeophyte,0,0,1
Solanum_bullatum,nongeophyte,0,0,1
Solanum_caelicolum,nongeophyte,0,0,1
Solanum_caldense,nongeophyte,0,0,1
Solanum_capoerum,nongeophyte,0,0,1
Solanum_carautae,nongeophyte,0,0,1
Solanum_castaneum,nongeophyte,0,0,1
Solanum_celsum,nongeophyte,0,0,1
Solanum_cernuum,nongeophyte,0,0,1
Solanum_chiapasense,nongeophyte,0,0,1
Solanum_cinnamomeum,nongeophyte,0,0,1
Solanum_cladotrichum,nongeophyte,0,0,1
Solanum_clathratum,nongeophyte,0,0,1
Solanum_concinnum,nongeophyte,0,0,1
Solanum_conglobatum,nongeophyte,0,0,1
Solanum_cordovense,nongeophyte,0,0,1
Solanum_davidsei,nongeophyte,0,0,1
Solanum_didymum,nongeophyte,0,0,1
Solanum_dillonii,nongeophyte,0,0,1
Solanum_distichophyllum,nongeophyte,0,0,1
Solanum_erianthum,nongeophyte,0,0,1
Solanum_goodspeedii,nongeophyte,0,0,1
Solanum_granuloso-leprosum,nongeophyte,0,0,1
Solanum_hazenii,nongeophyte,0,0,1
Solanum_hirtellum,nongeophyte,0,0,1
Solanum_hoffmanseggii,nongeophyte,0,0,1
Solanum_iltisii,nongeophyte,0,0,1
Solanum_inelegans,nongeophyte,0,0,1
Solanum_isodynamum,nongeophyte,0,0,1
Solanum_itatiaiae,nongeophyte,0,0,1
Solanum_julocrotonoides,nongeophyte,0,0,1
Solanum_lacerdae,nongeophyte,0,0,1
Solanum_lantana,nongeophyte,0,0,1
Solanum_leontopodium,nongeophyte,0,0,1
Solanum_lepidotum,nongeophyte,0,0,1
Solanum_leucodendron,nongeophyte,0,0,1
Solanum_martii,nongeophyte,0,0,1
Solanum_mauritianum,nongeophyte,0,0,1
Solanum_megalochiton,nongeophyte,0,0,1
Solanum_murinum,nongeophyte,0,0,1
Solanum_myosotis,nongeophyte,0,0,1
Solanum_oliveirae,nongeophyte,0,0,1
Solanum_oxapampense,nongeophyte,0,0,1
Solanum_pachimatium,nongeophyte,0,0,1
Solanum_paranense,nongeophyte,0,0,1
Solanum_pereirae,nongeophyte,0,0,1
Solanum_placitum,nongeophyte,0,0,1
Solanum_plumense,nongeophyte,0,0,1
Solanum_pulverulentifolium,nongeophyte,0,0,1
Solanum_punctulatum,nongeophyte,0,0,1
Solanum_ramulosum,nongeophyte,0,0,1
Solanum_riparium,nongeophyte,0,0,1
Solanum_rufescens,nongeophyte,0,0,1
Solanum_rugosum,nongeophyte,0,0,1
Solanum_saltiense,nongeophyte,0,0,1
Solanum_sambuciflorum,nongeophyte,0,0,1
Solanum_sanctaecatharinae,nongeophyte,0,0,1
Solanum_schlechtendalianum,nongeophyte,0,0,1
Solanum_schwackei,nongeophyte,0,0,1
Solanum_selachophyllum,nongeophyte,0,0,1
Solanum_sellovianum,nongeophyte,0,0,1
Solanum_sellowii,nongeophyte,0,0,1
Solanum_semotum,nongeophyte,0,0,1
Solanum_solum,nongeophyte,0,0,1
Solanum_sooretamum,nongeophyte,0,0,1
Solanum_steyermarkii,nongeophyte,0,0,1
Solanum_stipulaceum,nongeophyte,0,0,1
Solanum_subsylvestre,nongeophyte,0,0,1
Solanum_swartzianum,nongeophyte,0,0,1
Solanum_trachycyphum,nongeophyte,0,0,1
Solanum_umbellatum,nongeophyte,0,0,1
Solanum_umbratile,nongeophyte,0,0,1
Solanum_vellozianum,nongeophyte,0,0,1
Solanum_velutissimum,nongeophyte,0,0,1
Solanum_verecundum,nongeophyte,0,0,1
