,AOO,Species,Specimens,EOO_con,EOO_a1,EOO_a2,EOO_a3,EOO_a5,EOO_a7
8,8,Solanum_×procurrens,2,NA,NA,NA,NA,NA,NA
13,8,Solanum_abollatum,2,NA,NA,NA,NA,NA,NA
14,4,Solanum_abortivum,2,NA,NA,NA,NA,NA,NA
44,4,Solanum_ajanhuiri,1,NA,NA,NA,NA,NA,NA
90,4,Solanum_apiculatum,1,NA,NA,NA,NA,NA,NA
98,8,Solanum_arenarium,2,NA,NA,NA,NA,NA,NA
106,8,Solanum_armentalis,2,NA,NA,NA,NA,NA,NA
116,8,Solanum_asteropilodes,2,NA,NA,NA,NA,NA,NA
118,8,Solanum_athenae,2,NA,NA,NA,NA,NA,NA
127,4,Solanum_axillifolium,1,NA,NA,NA,NA,NA,NA
185,8,Solanum_canoasense,2,NA,NA,NA,NA,NA,NA
204,4,Solanum_celebense,1,NA,NA,NA,NA,NA,NA
209,8,Solanum_chachapoyasense,2,NA,NA,NA,NA,NA,NA
211,4,Solanum_chaetophorum,1,NA,NA,NA,NA,NA,NA
213,4,Solanum_chamaeacanthum,1,NA,NA,NA,NA,NA,NA
221,8,Solanum_chilliasense,2,NA,NA,NA,NA,NA,NA
231,8,Solanum_citrullifolium,2,NA,NA,NA,NA,NA,NA
262,4,Solanum_coquimbense,1,NA,NA,NA,NA,NA,NA
297,4,Solanum_dalibardiforme,1,NA,NA,NA,NA,NA,NA
301,4,Solanum_darienense,1,NA,NA,NA,NA,NA,NA
303,8,Solanum_dasyneuron,2,NA,NA,NA,NA,NA,NA
306,4,Solanum_davisense,2,NA,NA,NA,NA,NA,NA
310,8,Solanum_deflexicarpum,2,NA,NA,NA,NA,NA,NA
327,8,Solanum_dimorphandrum,2,NA,NA,NA,NA,NA,NA
341,4,Solanum_dolichosepalum,1,NA,NA,NA,NA,NA,NA
379,8,Solanum_evolvuloides,2,NA,NA,NA,NA,NA,NA
381,4,Solanum_exemptum,1,NA,NA,NA,NA,NA,NA
385,8,Solanum_falconense,2,NA,NA,NA,NA,NA,NA
388,8,Solanum_felinum,2,NA,NA,NA,NA,NA,NA
389,4,Solanum_fernandesii,1,NA,NA,NA,NA,NA,NA
397,4,Solanum_flagellare,1,NA,NA,NA,NA,NA,NA
406,4,Solanum_friburgense,1,NA,NA,NA,NA,NA,NA
407,8,Solanum_fructu-tecto,2,NA,NA,NA,NA,NA,NA
440,4,Solanum_graniticola,1,NA,NA,NA,NA,NA,NA
448,4,Solanum_guerreroense,2,NA,NA,NA,NA,NA,NA
450,12,Solanum_gundlachii,3,NA,NA,NA,NA,NA,NA
454,4,Solanum_haematocarpon,1,NA,NA,NA,NA,NA,NA
482,8,Solanum_hoffmanseggii,2,NA,NA,NA,NA,NA,NA
492,4,Solanum_hugonis,1,NA,NA,NA,NA,NA,NA
508,4,Solanum_imbaburense,1,NA,NA,NA,NA,NA,NA
517,4,Solanum_incasicum,1,NA,NA,NA,NA,NA,NA
521,8,Solanum_indivisum,2,NA,NA,NA,NA,NA,NA
524,4,Solanum_infuscatum,2,NA,NA,NA,NA,NA,NA
530,8,Solanum_insulae-pinorum,2,NA,NA,NA,NA,NA,NA
537,8,Solanum_iodinum,2,NA,NA,NA,NA,NA,NA
539,8,Solanum_ionidium,2,NA,NA,NA,NA,NA,NA
541,8,Solanum_irregulare,2,NA,NA,NA,NA,NA,NA
550,8,Solanum_johnstonii,2,NA,NA,NA,NA,NA,NA
554,8,Solanum_julocrotonoides,2,NA,NA,NA,NA,NA,NA
